Season,team_id,Team,Total Wins
2017,3,NY Rangers Rangers (NYR),57
2011,8,Montreal Canadiens (MTL),40
2003,17,Detroit Red Wings (DET),46
2009,29,Columbus Blue Jackets (CBJ),30
2005,6,Boston Bruins (BOS),27
2006,27,Phoenix Coyotes (PHX),26
2006,1,New Jersey Devils (NJD),42
2005,3,NY Rangers Rangers (NYR),55
2016,4,Philadelphia Flyers (PHI),39
2003,12,Carolina Hurricanes (CAR),23
2013,17,Detroit Red Wings (DET),47
2016,3,NY Rangers Rangers (NYR),62
2006,5,Pittsburgh Penguins (PIT),47
2010,13,Florida Panthers (FLA),51
2009,1,New Jersey Devils (NJD),58
2016,30,Minnesota Wild (MIN),56
2015,26,Los Angeles Kings (LAK),26
2009,18,Nashville Predators (NSH),41
2017,12,Carolina Hurricanes (CAR),34
2014,3,NY Rangers Rangers (NYR),61
2014,19,St Louis Blues (STL),53
2008,8,Montreal Canadiens (MTL),47
2013,4,Philadelphia Flyers (PHI),21
2015,18,Nashville Predators (NSH),43
2017,22,Edmonton Oilers (EDM),30
2015,17,Detroit Red Wings (DET),22
2014,53,Arizona Coyotes (ARI),25
2018,2,NY Islanders Islanders (NYI),49
2011,17,Detroit Red Wings (DET),48
2008,23,Vancouver Canucks (VAN),52
2003,6,Boston Bruins (BOS),34
2014,23,Vancouver Canucks (VAN),60
2008,3,NY Rangers Rangers (NYR),24
2008,19,St Louis Blues (STL),38
2003,10,Toronto Maple Leafs (TOR),43
2003,20,Calgary Flames (CGY),36
2003,3,NY Rangers Rangers (NYR),20
2017,2,NY Islanders Islanders (NYI),38
2011,15,Washington Capitals (WSH),37
2018,5,Pittsburgh Penguins (PIT),54
2011,13,Florida Panthers (FLA),54
2011,25,Dallas Stars (DAL),44
2010,28,San Jose Sharks (SJS),38
2015,19,St Louis Blues (STL),44
2010,19,St Louis Blues (STL),32
2017,1,New Jersey Devils (NJD),61
2011,4,Philadelphia Flyers (PHI),44
2009,26,Los Angeles Kings (LAK),41
2006,20,Calgary Flames (CGY),24
2005,7,Buffalo Sabres (BUF),65
2016,13,Florida Panthers (FLA),26
2013,25,Dallas Stars (DAL),37
2018,52,Winnipeg Jets (WPG),46
2009,23,Vancouver Canucks (VAN),48
2003,29,Columbus Blue Jackets (CBJ),38
2010,1,New Jersey Devils (NJD),21
2005,5,Pittsburgh Penguins (PIT),42
2014,17,Detroit Red Wings (DET),41
2011,23,Vancouver Canucks (VAN),26
2009,16,Chicago Blackhawks (CHI),66
2008,20,Calgary Flames (CGY),21
2017,23,Vancouver Canucks (VAN),31
2013,8,Montreal Canadiens (MTL),63
2011,22,Edmonton Oilers (EDM),54
2009,11,Atlanta Thrashers (ATL),37
2005,12,Carolina Hurricanes (CAR),52
2016,17,Detroit Red Wings (DET),41
2013,1,New Jersey Devils (NJD),28
2018,6,Boston Bruins (BOS),25
2014,5,Pittsburgh Penguins (PIT),44
2017,7,Buffalo Sabres (BUF),29
2014,2,NY Islanders Islanders (NYI),54
2015,13,Florida Panthers (FLA),55
2018,53,Arizona Coyotes (ARI),36
2008,25,Dallas Stars (DAL),59
2015,10,Toronto Maple Leafs (TOR),31
2003,8,Montreal Canadiens (MTL),43
2016,9,Ottawa Senators (OTT),52
2008,7,Buffalo Sabres (BUF),34
2009,5,Pittsburgh Penguins (PIT),52
2018,14,Tampa Bay Lightning (TBL),44
2003,23,Vancouver Canucks (VAN),26
2014,30,Minnesota Wild (MIN),58
2006,10,Toronto Maple Leafs (TOR),26
2009,14,Tampa Bay Lightning (TBL),35
2009,9,Ottawa Senators (OTT),54
2018,21,Colorado Avalanche (COL),41
2005,11,Atlanta Thrashers (ATL),56
2010,29,Columbus Blue Jackets (CBJ),40
2011,28,San Jose Sharks (SJS),63
2018,19,St Louis Blues (STL),46
2015,24,Anaheim Ducks (ANA),21
2008,9,Ottawa Senators (OTT),53
2014,10,Toronto Maple Leafs (TOR),61
2018,15,Washington Capitals (WSH),45
2008,21,Colorado Avalanche (COL),65
2018,28,San Jose Sharks (SJS),45
2006,6,Boston Bruins (BOS),52
2009,19,St Louis Blues (STL),33
2017,20,Calgary Flames (CGY),28
2008,27,Phoenix Coyotes (PHX),38
2015,8,Montreal Canadiens (MTL),50
2017,5,Pittsburgh Penguins (PIT),42
2003,30,Minnesota Wild (MIN),56
2016,5,Pittsburgh Penguins (PIT),65
2003,1,New Jersey Devils (NJD),26
2018,12,Carolina Hurricanes (CAR),29
2017,8,Montreal Canadiens (MTL),41
2010,26,Los Angeles Kings (LAK),51
2016,12,Carolina Hurricanes (CAR),40
2013,20,Calgary Flames (CGY),49
2009,15,Washington Capitals (WSH),30
2017,16,Chicago Blackhawks (CHI),22
2011,26,Los Angeles Kings (LAK),20
2015,14,Tampa Bay Lightning (TBL),36
2005,30,Minnesota Wild (MIN),40
2003,21,Colorado Avalanche (COL),48
2009,6,Boston Bruins (BOS),33
2006,14,Tampa Bay Lightning (TBL),56
2005,25,Dallas Stars (DAL),54
2005,19,St Louis Blues (STL),33
2010,17,Detroit Red Wings (DET),44
2014,16,Chicago Blackhawks (CHI),56
2014,12,Carolina Hurricanes (CAR),31
2008,22,Edmonton Oilers (EDM),25
2017,18,Nashville Predators (NSH),46
2011,10,Toronto Maple Leafs (TOR),36
2015,15,Washington Capitals (WSH),59
2015,3,NY Rangers Rangers (NYR),54
2015,2,NY Islanders Islanders (NYI),40
2010,2,NY Islanders Islanders (NYI),36
2014,15,Washington Capitals (WSH),35
2008,10,Toronto Maple Leafs (TOR),48
2006,19,St Louis Blues (STL),38
2006,2,NY Islanders Islanders (NYI),32
2015,1,New Jersey Devils (NJD),52
2005,21,Colorado Avalanche (COL),59
2005,23,Vancouver Canucks (VAN),33
2005,2,NY Islanders Islanders (NYI),24
2006,18,Nashville Predators (NSH),50
2006,9,Ottawa Senators (OTT),43
2011,19,St Louis Blues (STL),41
2015,28,San Jose Sharks (SJS),60
2016,24,Anaheim Ducks (ANA),28
2011,29,Columbus Blue Jackets (CBJ),26
2016,25,Dallas Stars (DAL),44
2018,4,Philadelphia Flyers (PHI),21
2016,14,Tampa Bay Lightning (TBL),45
2010,12,Carolina Hurricanes (CAR),29
2008,30,Minnesota Wild (MIN),42
2016,22,Edmonton Oilers (EDM),30
2011,18,Nashville Predators (NSH),50
2017,25,Dallas Stars (DAL),37
2010,9,Ottawa Senators (OTT),34
2013,18,Nashville Predators (NSH),53
2008,28,San Jose Sharks (SJS),60
2006,29,Columbus Blue Jackets (CBJ),35
2017,28,San Jose Sharks (SJS),57
2005,27,Phoenix Coyotes (PHX),38
2005,13,Florida Panthers (FLA),19
2009,20,Calgary Flames (CGY),32
2011,6,Boston Bruins (BOS),38
2009,13,Florida Panthers (FLA),49
2016,23,Vancouver Canucks (VAN),38
2018,24,Anaheim Ducks (ANA),36
2010,5,Pittsburgh Penguins (PIT),30
2015,5,Pittsburgh Penguins (PIT),53
2016,21,Colorado Avalanche (COL),32
2009,30,Minnesota Wild (MIN),36
2016,29,Columbus Blue Jackets (CBJ),53
2016,53,Arizona Coyotes (ARI),25
2011,9,Ottawa Senators (OTT),27
2005,1,New Jersey Devils (NJD),24
2006,11,Atlanta Thrashers (ATL),60
2011,2,NY Islanders Islanders (NYI),55
2018,17,Detroit Red Wings (DET),39
2006,22,Edmonton Oilers (EDM),53
2006,28,San Jose Sharks (SJS),61
2010,24,Anaheim Ducks (ANA),46
2005,15,Washington Capitals (WSH),33
2016,26,Los Angeles Kings (LAK),24
2009,28,San Jose Sharks (SJS),44
2014,26,Los Angeles Kings (LAK),20
2003,4,Philadelphia Flyers (PHI),56
2015,9,Ottawa Senators (OTT),26
2003,26,Los Angeles Kings (LAK),32
2016,6,Boston Bruins (BOS),27
2006,4,Philadelphia Flyers (PHI),24
2013,15,Washington Capitals (WSH),45
2018,25,Dallas Stars (DAL),48
2013,22,Edmonton Oilers (EDM),34
2014,4,Philadelphia Flyers (PHI),32
2013,9,Ottawa Senators (OTT),17
2010,10,Toronto Maple Leafs (TOR),28
2015,12,Carolina Hurricanes (CAR),30
2005,22,Edmonton Oilers (EDM),64
2003,13,Florida Panthers (FLA),34
2003,2,NY Islanders Islanders (NYI),33
2010,3,NY Rangers Rangers (NYR),56
2011,5,Pittsburgh Penguins (PIT),28
2005,17,Detroit Red Wings (DET),48
2003,19,St Louis Blues (STL),51
2016,1,New Jersey Devils (NJD),33
2009,25,Dallas Stars (DAL),53
2017,29,Columbus Blue Jackets (CBJ),49
2018,9,Ottawa Senators (OTT),53
2005,14,Tampa Bay Lightning (TBL),59
2016,10,Toronto Maple Leafs (TOR),45
2003,5,Pittsburgh Penguins (PIT),38
2015,30,Minnesota Wild (MIN),54
2005,16,Chicago Blackhawks (CHI),20
2011,20,Calgary Flames (CGY),38
2016,20,Calgary Flames (CGY),33
2013,12,Carolina Hurricanes (CAR),31
2015,29,Columbus Blue Jackets (CBJ),35
2018,13,Florida Panthers (FLA),43
2010,27,Phoenix Coyotes (PHX),21
2015,20,Calgary Flames (CGY),49
2008,16,Chicago Blackhawks (CHI),42
2018,3,NY Rangers Rangers (NYR),50
2010,16,Chicago Blackhawks (CHI),58
2018,22,Edmonton Oilers (EDM),33
2006,17,Detroit Red Wings (DET),39
2010,25,Dallas Stars (DAL),59
2013,28,San Jose Sharks (SJS),62
2013,23,Vancouver Canucks (VAN),54
2016,52,Winnipeg Jets (WPG),39
2014,7,Buffalo Sabres (BUF),51
2013,24,Anaheim Ducks (ANA),62
2009,4,Philadelphia Flyers (PHI),37
2009,8,Montreal Canadiens (MTL),43
2008,29,Columbus Blue Jackets (CBJ),47
2018,30,Minnesota Wild (MIN),51
2017,54,Vegas Golden Knights (VGK),67
2014,52,Winnipeg Jets (WPG),20
2010,11,Atlanta Thrashers (ATL),58
2008,4,Philadelphia Flyers (PHI),43
2008,2,NY Islanders Islanders (NYI),52
2015,23,Vancouver Canucks (VAN),34
2015,16,Chicago Blackhawks (CHI),47
2006,23,Vancouver Canucks (VAN),33
2006,7,Buffalo Sabres (BUF),62
2017,17,Detroit Red Wings (DET),37
2009,10,Toronto Maple Leafs (TOR),27
2015,21,Colorado Avalanche (COL),60
2005,20,Calgary Flames (CGY),38
2016,8,Montreal Canadiens (MTL),54
2006,12,Carolina Hurricanes (CAR),39
2014,9,Ottawa Senators (OTT),18
2015,4,Philadelphia Flyers (PHI),18
2005,29,Columbus Blue Jackets (CBJ),16
2014,25,Dallas Stars (DAL),40
2016,16,Chicago Blackhawks (CHI),49
2013,2,NY Islanders Islanders (NYI),40
2018,29,Columbus Blue Jackets (CBJ),55
2005,18,Nashville Predators (NSH),61
2010,20,Calgary Flames (CGY),32
2018,20,Calgary Flames (CGY),42
2013,26,Los Angeles Kings (LAK),25
2018,1,New Jersey Devils (NJD),48
2003,25,Dallas Stars (DAL),44
2018,7,Buffalo Sabres (BUF),47
2005,26,Los Angeles Kings (LAK),41
2014,20,Calgary Flames (CGY),58
2017,53,Arizona Coyotes (ARI),17
2014,29,Columbus Blue Jackets (CBJ),22
2013,10,Toronto Maple Leafs (TOR),34
2006,30,Minnesota Wild (MIN),42
2008,12,Carolina Hurricanes (CAR),52
2014,1,New Jersey Devils (NJD),23
2011,52,Winnipeg Jets (WPG),44
2008,15,Washington Capitals (WSH),35
2016,15,Washington Capitals (WSH),26
2014,18,Nashville Predators (NSH),45
2003,7,Buffalo Sabres (BUF),33
2017,9,Ottawa Senators (OTT),38
2014,21,Colorado Avalanche (COL),45
2014,14,Tampa Bay Lightning (TBL),52
2013,16,Chicago Blackhawks (CHI),58
2018,8,Montreal Canadiens (MTL),20
2013,13,Florida Panthers (FLA),42
2014,6,Boston Bruins (BOS),22
2008,1,New Jersey Devils (NJD),35
2013,5,Pittsburgh Penguins (PIT),65
2005,24,Anaheim Ducks (ANA),18
2011,1,New Jersey Devils (NJD),38
2003,22,Edmonton Oilers (EDM),40
2016,18,Nashville Predators (NSH),34
2013,21,Colorado Avalanche (COL),34
2009,24,Anaheim Ducks (ANA),30
2010,15,Washington Capitals (WSH),38
2006,24,Anaheim Ducks (ANA),33
2017,6,Boston Bruins (BOS),40
2003,27,Phoenix Coyotes (PHX),11
2013,6,Boston Bruins (BOS),42
2018,18,Nashville Predators (NSH),48
2010,8,Montreal Canadiens (MTL),40
2017,14,Tampa Bay Lightning (TBL),44
2018,16,Chicago Blackhawks (CHI),22
2008,13,Florida Panthers (FLA),29
2014,22,Edmonton Oilers (EDM),23
2016,7,Buffalo Sabres (BUF),24
2018,26,Los Angeles Kings (LAK),35
2005,28,San Jose Sharks (SJS),53
2008,5,Pittsburgh Penguins (PIT),58
2008,26,Los Angeles Kings (LAK),33
2005,9,Ottawa Senators (OTT),42
2013,29,Columbus Blue Jackets (CBJ),27
2003,14,Tampa Bay Lightning (TBL),58
2017,30,Minnesota Wild (MIN),55
2010,21,Colorado Avalanche (COL),65
2013,52,Winnipeg Jets (WPG),32
2014,28,San Jose Sharks (SJS),35
2016,28,San Jose Sharks (SJS),66
2008,11,Atlanta Thrashers (ATL),35
2017,4,Philadelphia Flyers (PHI),35
2015,52,Winnipeg Jets (WPG),23
2006,15,Washington Capitals (WSH),23
2009,27,Phoenix Coyotes (PHX),39
2017,10,Toronto Maple Leafs (TOR),33
2003,24,Anaheim Ducks (ANA),43
2011,16,Chicago Blackhawks (CHI),65
2015,7,Buffalo Sabres (BUF),40
2010,23,Vancouver Canucks (VAN),40
2006,21,Colorado Avalanche (COL),53
2010,14,Tampa Bay Lightning (TBL),62
2006,13,Florida Panthers (FLA),20
2015,6,Boston Bruins (BOS),46
2013,3,NY Rangers Rangers (NYR),35
2014,24,Anaheim Ducks (ANA),53
2017,24,Anaheim Ducks (ANA),39
2010,7,Buffalo Sabres (BUF),33
2009,22,Edmonton Oilers (EDM),40
2009,3,NY Rangers Rangers (NYR),42
2017,13,Florida Panthers (FLA),48
2008,18,Nashville Predators (NSH),40
2013,30,Minnesota Wild (MIN),45
2006,16,Chicago Blackhawks (CHI),46
2008,24,Anaheim Ducks (ANA),21
2010,22,Edmonton Oilers (EDM),19
2015,22,Edmonton Oilers (EDM),38
2003,16,Chicago Blackhawks (CHI),39
2010,4,Philadelphia Flyers (PHI),57
2005,4,Philadelphia Flyers (PHI),45
2009,17,Detroit Red Wings (DET),23
2014,8,Montreal Canadiens (MTL),56
2006,26,Los Angeles Kings (LAK),33
2015,25,Dallas Stars (DAL),49
2011,14,Tampa Bay Lightning (TBL),45
2011,24,Anaheim Ducks (ANA),21
2008,6,Boston Bruins (BOS),40
2017,26,Los Angeles Kings (LAK),43
2017,21,Colorado Avalanche (COL),44
2013,27,Phoenix Coyotes (PHX),28
2003,28,San Jose Sharks (SJS),24
2011,21,Colorado Avalanche (COL),35
2016,2,NY Islanders Islanders (NYI),52
2008,17,Detroit Red Wings (DET),40
2010,30,Minnesota Wild (MIN),39
2016,19,St Louis Blues (STL),48
2010,18,Nashville Predators (NSH),31
2011,7,Buffalo Sabres (BUF),30
2011,12,Carolina Hurricanes (CAR),30
2005,10,Toronto Maple Leafs (TOR),48
2018,54,Vegas Golden Knights (VGK),30
2010,6,Boston Bruins (BOS),42
2003,18,Nashville Predators (NSH),45
2013,19,St Louis Blues (STL),56
2018,23,Vancouver Canucks (VAN),41
2003,15,Washington Capitals (WSH),36
2003,9,Ottawa Senators (OTT),38
2009,12,Carolina Hurricanes (CAR),13
2013,14,Tampa Bay Lightning (TBL),40
2005,8,Montreal Canadiens (MTL),23
2006,3,NY Rangers Rangers (NYR),56
2003,11,Atlanta Thrashers (ATL),47
2011,3,NY Rangers Rangers (NYR),63
2006,25,Dallas Stars (DAL),56
2014,13,Florida Panthers (FLA),36
2011,30,Minnesota Wild (MIN),57
2009,7,Buffalo Sabres (BUF),48
2017,52,Winnipeg Jets (WPG),48
2013,7,Buffalo Sabres (BUF),24
2009,21,Colorado Avalanche (COL),61
2017,19,St Louis Blues (STL),49
2018,10,Toronto Maple Leafs (TOR),49
2017,15,Washington Capitals (WSH),32
2009,2,NY Islanders Islanders (NYI),55
2008,14,Tampa Bay Lightning (TBL),22
2006,8,Montreal Canadiens (MTL),26
2011,27,Phoenix Coyotes (PHX),33
2015,53,Arizona Coyotes (ARI),35
